code_ligne;picto_mode;picto_ligne
2;mode_Bus.svg;2_ligne.svg
3;mode_Bus.svg;3_ligne.svg
5;mode_Bus.svg;5_ligne.svg
6;mode_Bus.svg;6_ligne.svg
7;mode_Bus.svg;7_ligne.svg
8;mode_Bus.svg;8_ligne.svg
9;mode_Bus.svg;9_ligne.svg
10;mode_Bus.svg;10_ligne.svg
11;mode_Bus.svg;11_ligne.svg
12;mode_Bus.svg;12_ligne.svg
14;mode_Bus.svg;14_ligne.svg
15;mode_Bus.svg;15_ligne.svg
16;mode_Bus.svg;16_ligne.svg
17;mode_Bus.svg;17_ligne.svg
18;mode_Bus.svg;18_ligne.svg
19;mode_Bus.svg;19_ligne.svg
20;mode_Bus.svg;20_ligne.svg
21;mode_Bus.svg;21_ligne.svg
22;mode_Bus.svg;22_ligne.svg
23;mode_Bus.svg;23_ligne.svg
24;mode_Bus.svg;24_ligne.svg
25;mode_Bus.svg;25_ligne.svg
26;mode_Bus.svg;26_ligne.svg
27;mode_Bus.svg;27_ligne.svg
28;mode_Bus.svg;28_ligne.svg
29;mode_Bus.svg;29_ligne.svg
30;mode_Bus.svg;30_ligne.svg
31;mode_Bus.svg;31_ligne.svg
32;mode_Bus.svg;32_ligne.svg
33;mode_Bus.svg;33_ligne.svg
34;mode_Bus.svg;34_ligne.svg
35;mode_Bus.svg;35_ligne.svg
36;mode_Bus.svg;36_ligne.svg
37;mode_Bus.svg;37_ligne.svg
38;mode_Bus.svg;38_ligne.svg
39;mode_Bus.svg;39_ligne.svg
40;mode_Bus.svg;40_ligne.svg
43;mode_Bus.svg;43_ligne.svg
45;mode_Bus.svg;45_ligne.svg
46;mode_Bus.svg;46_ligne.svg
47;mode_Bus.svg;47_ligne.svg
48;mode_Bus.svg;48_ligne.svg
49;mode_Bus.svg;49_ligne.svg
50;mode_Bus.svg;50_ligne.svg
52;mode_Bus.svg;52_ligne.svg
54;mode_Bus.svg;54_ligne.svg
55;mode_Bus.svg;55_ligne.svg
57;mode_Bus.svg;57_ligne.svg
60;mode_Bus.svg;60_ligne.svg
61;mode_Bus.svg;61_ligne.svg
62;mode_Bus.svg;62_ligne.svg
63;mode_Bus.svg;63_ligne.svg
64;mode_Bus.svg;64_ligne.svg
65;mode_Bus.svg;65_ligne.svg
66;mode_Bus.svg;66_ligne.svg
67;mode_Bus.svg;67_ligne.svg
68;mode_Bus.svg;68_ligne.svg
69;mode_Bus.svg;69_ligne.svg
70;mode_Bus.svg;70_ligne.svg
71;mode_Bus.svg;71_ligne.svg
72;mode_Bus.svg;72_ligne.svg
73;mode_Bus.svg;73_ligne.svg
76;mode_Bus.svg;76_ligne.svg
77;mode_Bus.svg;77_ligne.svg
78;mode_Bus.svg;78_ligne.svg
79;mode_Bus.svg;79_ligne.svg
80;mode_Bus.svg;80_ligne.svg
81;mode_Bus.svg;81_ligne.svg
84;mode_Bus.svg;84_ligne.svg
85;mode_Bus.svg;85_ligne.svg
86;mode_Bus.svg;86_ligne.svg
87;mode_Bus.svg;87_ligne.svg
88;mode_Bus.svg;88_ligne.svg
89;mode_Bus.svg;89_ligne.svg
90;mode_Bus.svg;90_ligne.svg
93;mode_Bus.svg;93_ligne.svg
95;mode_Bus.svg;95_ligne.svg
96;mode_Bus.svg;96_ligne.svg
97;mode_Bus.svg;97_ligne.svg
98;mode_Bus.svg;98_ligne.svg
111;mode_Bus.svg;111_ligne.svg
112;mode_Bus.svg;112_ligne.svg
113;mode_Bus.svg;113_ligne.svg
114;mode_Bus.svg;114_ligne.svg
115;mode_Bus.svg;115_ligne.svg
118;mode_Bus.svg;118_ligne.svg
119;mode_Bus.svg;119_ligne.svg
120;mode_Bus.svg;120_ligne.svg
122;mode_Bus.svg;122_ligne.svg
142;mode_Bus.svg;142_ligne.svg
145;mode_Bus.svg;145_ligne.svg
145E;mode_Bus.svg;145E_ligne.svg
147;mode_Bus.svg;147_ligne.svg
448;mode_Bus.svg;448_ligne.svg
10E;mode_Bus.svg;10E_ligne.svg
15E;mode_Bus.svg;15E_ligne.svg
1E;mode_Bus.svg;1E_ligne.svg
2EX;mode_Bus.svg;2EX_ligne.svg
73E;mode_Bus.svg;73E_ligne.svg
89D;mode_Bus.svg;89D_ligne.svg
98E;mode_Bus.svg;98E_ligne.svg
A32;mode_Bus.svg;A32_ligne.svg
A71;mode_Bus.svg;A71_ligne.svg
GE1;mode_Bus.svg;GE1_ligne.svg
GE2;mode_Bus.svg;GE2_ligne.svg
GE4;mode_Bus.svg;GE4_ligne.svg
GE6;mode_Bus.svg;GE6_ligne.svg
N100;mode_Bus.svg;N100_ligne.svg
N20;mode_Bus.svg;N20_ligne.svg
N80;mode_Bus.svg;N80_ligne.svg
N81;mode_Bus.svg;N81_ligne.svg
N82;mode_Bus.svg;N82_ligne.svg
N83;mode_Bus.svg;N83_ligne.svg
N84;mode_Bus.svg;N84_ligne.svg
PL1;mode_Bus.svg;PL1_ligne.svg
PL2;mode_Bus.svg;PL2_ligne.svg
PL3;mode_Bus.svg;PL3_ligne.svg
S1;mode_Bus.svg;S1_ligne.svg
S10;mode_Bus.svg;S10_ligne.svg
S11;mode_Bus.svg;S11_ligne.svg
S12;mode_Bus.svg;S12_ligne.svg
S14;mode_Bus.svg;S14_ligne.svg
S15;mode_Bus.svg;S15_ligne.svg
S2;mode_Bus.svg;S2_ligne.svg
S4;mode_Bus.svg;S4_ligne.svg
S5;mode_Bus.svg;S5_ligne.svg
S6;mode_Bus.svg;S6_ligne.svg
S7;mode_Bus.svg;S7_ligne.svg
S8;mode_Bus.svg;S8_ligne.svg
S9;mode_Bus.svg;S9_ligne.svg
T36;mode_Bus.svg;T36_ligne.svg
ZI1;mode_Bus.svg;ZI1_ligne.svg
ZI2;mode_Bus.svg;ZI2_ligne.svg
ZI3;mode_Bus.svg;ZI3_ligne.svg
ZI4;mode_Bus.svg;ZI4_ligne.svg
ZI5;mode_Bus.svg;ZI5_ligne.svg
ZI8;mode_Bus.svg;ZI8_ligne.svg
C1;mode_Bus_C.svg;C1_ligne.svg
C10;mode_Bus_C.svg;C10_ligne.svg
C11;mode_Bus_C.svg;C11_ligne.svg
C12;mode_Bus_C.svg;C12_ligne.svg
C13;mode_Bus_C.svg;C13_ligne.svg
C14;mode_Bus_C.svg;C14_ligne.svg
C15;mode_Bus_C.svg;C15_ligne.svg
C15E;mode_Bus_C.svg;C15E_ligne.svg
C16;mode_Bus_C.svg;C16_ligne.svg
C17;mode_Bus_C.svg;C17_ligne.svg
C18;mode_Bus_C.svg;C18_ligne.svg
C19;mode_Bus_C.svg;C19_ligne.svg
C2;mode_Bus_C.svg;C2_ligne.svg
C20;mode_Bus_C.svg;C20_ligne.svg
C20E;mode_Bus_C.svg;C20E_ligne.svg
C21;mode_Bus_C.svg;C21_ligne.svg
C24;mode_Bus_C.svg;C24_ligne.svg
C24E;mode_Bus_C.svg;C24E_ligne.svg
C25;mode_Bus_C.svg;C25_ligne.svg
C26;mode_Bus_C.svg;C26_ligne.svg
C3;mode_Bus_C.svg;C3_ligne.svg
C4;mode_Bus_C.svg;C4_ligne.svg
C5;mode_Bus_C.svg;C5_ligne.svg
C6;mode_Bus_C.svg;C6_ligne.svg
C6E;mode_Bus_C.svg;C6E_ligne.svg
C7;mode_Bus_C.svg;C7_ligne.svg
C8;mode_Bus_C.svg;C8_ligne.svg
C9;mode_Bus_C.svg;C9_ligne.svg
F1;mode_Funiculaire.svg;F1_ligne.svg
F2;mode_Funiculaire.svg;F2_ligne.svg
A;mode_Metro.svg;A_ligne.svg
B;mode_Metro.svg;B_ligne.svg
C;mode_Metro.svg;C_ligne.svg
D;mode_Metro.svg;D_ligne.svg
BGS1;mode_Navette_bus_stadium.svg;BGS1_ligne.svg
BGS2;mode_Navette_bus_stadium.svg;BGS2_ligne.svg
BGS3;mode_Navette_bus_stadium.svg;BGS3_ligne.svg
BGS4;mode_Navette_bus_stadium.svg;BGS4_ligne.svg
BGS5;mode_Navette_bus_stadium.svg;BGS5_ligne.svg
BGS6;mode_Navette_bus_stadium.svg;BGS6_ligne.svg
TS;mode_Navette_tramway_stadium.svg;TS_ligne.svg
BR60;mode_Relais_Bus.svg;BR60_ligne.svg
BRF1;mode_Relais_Funiculaire.svg;BRF1_ligne.svg
BRF2;mode_Relais_Funiculaire.svg;BRF2_ligne.svg
BRMA;mode_Relais_Metro.svg;BRMA_ligne.svg
BRMB;mode_Relais_Metro.svg;BRMB_ligne.svg
BRMC;mode_Relais_Metro.svg;BRMC_ligne.svg
BRMD;mode_Relais_Metro.svg;BRMD_ligne.svg
BRT1;mode_Relais_Tramway.svg;BRT1_ligne.svg
BRT2;mode_Relais_Tramway.svg;BRT2_ligne.svg
BRT3;mode_Relais_Tramway.svg;BRT3_ligne.svg
BRT4;mode_Relais_Tramway.svg;BRT4_ligne.svg
BRT5;mode_Relais_Tramway.svg;BRT5_ligne.svg
BRT6;mode_Relais_Tramway.svg;BRT6_ligne.svg
R2;mode_Resago.svg;R2_ligne.svg
R3;mode_Resago.svg;R3_ligne.svg
T1;mode_Tramway.svg;T1_ligne.svg
T2;mode_Tramway.svg;T2_ligne.svg
T3;mode_Tramway.svg;T3_ligne.svg
T4;mode_Tramway.svg;T4_ligne.svg
T5;mode_Tramway.svg;T5_ligne.svg
T6;mode_Tramway.svg;T6_ligne.svg
T7;mode_Tramway.svg;T7_ligne.svg
